,perc
0,6.5%
1,880%
2,17.4%
3,128 percent
4,1.4 percentage points
5,5.58%
6,457 percent
7,97.3%
8,1.18 percent
9,207%
10,8.29%
11,4.73 percent
12,1.19%
13,1.68 percent
14,4.00 percent
15,37.4%
16,7.3 percentage points
17,24.72 percent
18,106%
19,9.15%
20,16.46%
21,10.4%
22,26.2 percent
23,31.4 percent
24,2.05 percent
25,3.41%
26,1.59 percent
27,261%
28,188%
29,70.6 percent
30,0.36 percentage points
31,18.11 percent
32,48.8%
33,1.09 percent
34,0.97%
35,0.09 percentage points
36,1.86 percent
37,9%
38,20 percentage points
39,730%
40,5.56%
41,4.18%
42,25.87%
43,12.83%
44,3.504%
45,12.26 percent
46,14.59%
47,1.95%
48,8%
49,2.54%
50,66.2%
51,63.3%
52,23.3 percent
53,19.8 percent
54,7.5 percentage points
55,115%
56,3.6 percent
57,18.2%
58,26.5%
59,47 percent
60,245 percent
61,1.069 percent
62,20.5%
63,51.3%
64,2.292%
65,10.69%
66,1500%
67,3.90%
68,000 percent
69,1.47%
70,3.99%
71,20.1 percent
72,45.6%
73,0.01%
74,8.31 percent
75,9.97 percent
76,68%
77,1.44 percentage points
78,23 percent
79,1.94 percent
80,13.31%
81,52.4 percent
82,30.1%
83,1.10%
84,12.05%
85,12.98 percent
86,87 percent
87,8.2%
88,2.93%
89,8.48 percent
90,12.2%
91,2 percent
92,13.45%
93,32.7 percent
94,23.2%
95,10.1 percentage points
96,230 percent
97,3.50%
98,8.59%
99,180%
100,78 percent
101,2.161%
102,3.3 percent
103,11.62 percent
104,3.85 percent
105,4.53%
106,1.08%
107,39.1 percent
108,9.7%
109,51.5 percent
110,5.89 percent
111,30.0%
112,17.0%
113,4.64 percent
114,48.1 percent
115,1.37%
116,00.25%
117,20.93%
118,151%
119,2.35%
120,7.50%
121,71.77%
122,4.5%
123,3.62 percent
124,5.20 percent
125,2.64 percent
126,43.4%
127,96.9%
128,892 percent
129,64.29%
130,8.1%
131,0.34%
132,2.87%
133,0.425 percent
134,76.2 percent
135,8.85%
136,40.6%
137,2.36%
138,69.5%
139,fifteen percent
140,6 percent
141,91.3%
142,3.264 percent
143,175%
144,35.1%
145,4.57%
146,0.055 percent
147,13.34%
148,81.08 percent
149,5.10 percent
150,8.26 percent
151,161%
152,eighty percent
153,29.1 percent
154,43.9%
155,1.27 percent
156,0.54%
157,2.53%
158,1.96%
159,3.67%
160,10.9%
161,111%
162,57.95%
163,13.24%
164,15 percent
165,43.7 percent
166,05 percent
167,1.98%
168,97.8%
169,4.8%
170,18.75 percent
171,61.1%
172,16.6 percent
173,36 percent
